id,station,date,running_high_f,running_low_f,last_updated,observation_count
1,KNYC,2026-02-18,41.0,37.9,2026-02-19T04:33:52.381344+00:00,63
2,KPHL,2026-02-18,46.4,39.2,2026-02-19T04:33:52.895798+00:00,63
3,KMIA,2026-02-18,80.6,71.6,2026-02-19T04:33:53.411573+00:00,63
4,KBOS,2026-02-18,39.2,35.6,2026-02-19T04:33:53.926349+00:00,63
5,KDCA,2026-02-18,51.8,39.2,2026-02-19T04:33:54.445735+00:00,59
6,KATL,2026-02-18,68.0,57.2,2026-02-19T04:33:54.964522+00:00,63
7,KNYC,2026-02-19,41.0,37.0,2026-02-20T00:00:57.013933+00:00,58
8,KPHL,2026-02-19,44.6,39.2,2026-02-20T00:00:57.536481+00:00,58
9,KMIA,2026-02-19,82.4,69.8,2026-02-20T00:00:58.070248+00:00,58
10,KBOS,2026-02-19,35.6,33.8,2026-02-20T00:00:58.587066+00:00,58
11,KDCA,2026-02-19,41.0,37.4,2026-02-20T00:00:59.156296+00:00,57
12,KATL,2026-02-19,78.8,64.4,2026-02-20T00:00:59.672776+00:00,58
