id,city,market_type,event_ticker,market_ticker,action,side,price_cents,contracts,confidence,edge_pct,reason,current_temp_f,forecast_temp_f,surrounding_avg_f,settled,settlement_result,pnl_cents,created_at,settled_at,signal_source
1,BOS,high,KXHIGHTBOS-26FEB15,KXHIGHTBOS-26FEB15-T29,buy,yes,1,3,0.65,4300.0,"Est temp 32°F in bracket [29-33], our prob 45% vs market 1¢",32.0,32.0,27.7,1,win,297,2026-02-15T14:15:45.308436+00:00,2026-02-16T03:00:00+00:00,model
2,PHI,high,KXHIGHPHIL-26FEB15,KXHIGHPHIL-26FEB15-T39,buy,yes,1,3,0.55,4200.0,"Est temp 42°F in bracket [39-43], our prob 43% vs market 1¢",35.6,43.0,32.4,1,win,297,2026-02-15T14:15:45.312379+00:00,2026-02-16T03:00:00+00:00,model
3,NYC,high,KXHIGHNY-26FEB15,KXHIGHNY-26FEB15-T36,buy,yes,1,3,0.5,4100.0,"Est temp 40°F in bracket [36-40], our prob 42% vs market 1¢",36.0,40.0,34.6,1,win,297,2026-02-15T14:15:45.315477+00:00,2026-02-16T03:00:00+00:00,model
4,NYC,high,KXHIGHNY-26FEB15,KXHIGHNY-26FEB15-B38.5,buy,yes,1,3,0.65,2700.0,"Est temp 40°F, bracket [38-39]°F, our prob 28% vs market 1¢",39.0,40.0,35.2,1,loss,-3,2026-02-15T14:30:22.571501+00:00,2026-02-16T03:00:00+00:00,model
5,MIA,high,KXHIGHMIA-26FEB15,KXHIGHMIA-26FEB15-B74.5,buy,yes,1,3,0.6,2000.0,"Est temp 77°F, bracket [74-75]°F, our prob 21% vs market 1¢",75.2,77.0,75.2,1,loss,-3,2026-02-15T14:30:22.576257+00:00,2026-02-16T03:00:00+00:00,model
6,NYC,high,KXHIGHNY-26FEB15,KXHIGHNY-26FEB15-B36.5,buy,yes,1,3,0.65,1700.0,"Est temp 40°F, bracket [36-37]°F, our prob 19% vs market 1¢",39.0,40.0,35.2,1,loss,-3,2026-02-15T14:30:22.587668+00:00,2026-02-16T03:00:00+00:00,model
7,NYC,high,KXHIGHNY-26FEB15,KXHIGHNY-26FEB15-B38.5,buy,yes,1,3,0.75,2800.0,"Est temp 40°F, bracket [38-39]°F, our prob 29% vs market 1¢",39.0,40.0,36.3,1,loss,-3,2026-02-15T15:00:32.950610+00:00,2026-02-16T03:00:00+00:00,model
8,MIA,high,KXHIGHMIA-26FEB15,KXHIGHMIA-26FEB15-B76.5,buy,yes,1,3,0.7,2800.0,"Est temp 77°F, bracket [76-77]°F, our prob 30% vs market 1¢",75.2,77.0,75.8,1,loss,-3,2026-02-15T15:00:32.953816+00:00,2026-02-16T03:00:00+00:00,model
9,NYC,low,KXLOWTNYC-26FEB16,KXLOWTNYC-26FEB16-T33,buy,yes,18,3,0.65,327.77777777777777,"Est temp 35°F, bracket [33-43]°F, our prob 77% vs market 18¢",36.0,35.0,36.0,1,LOST,-54,2026-02-16T01:00:20.756709+00:00,2026-02-20T18:02:21.531328+00:00,model
10,PHI,low,KXLOWTPHIL-26FEB16,KXLOWTPHIL-26FEB16-T36,buy,yes,4,15,0.65,225.0,"Est temp 33°F, bracket [36-46]°F, our prob 13% vs market 4¢",37.4,33.0,37.0,1,LOST,-60,2026-02-16T01:00:20.761241+00:00,2026-02-20T18:02:21.531328+00:00,model
11,PHI,low,KXLOWTPHIL-26FEB16,KXLOWTPHIL-26FEB16-T29,buy,yes,3,15,0.65,100.0,"Est temp 33°F, bracket [19-29]°F, our prob 7% vs market 3¢",37.4,33.0,37.0,1,LOST,-45,2026-02-16T01:00:20.764665+00:00,2026-02-20T18:02:21.531328+00:00,model
12,PHI,low,KXLOWTPHIL-26FEB16,KXLOWTPHIL-26FEB16-T36,buy,yes,3,15,0.65,333.33333333333337,"Est temp 33°F, bracket [36-46]°F, our prob 13% vs market 3¢",36.0,33.0,36.5,1,LOST,-45,2026-02-16T01:30:18.934051+00:00,2026-02-20T18:02:21.531328+00:00,model
13,MIA,low,KXLOWTMIA-26FEB16,KXLOWTMIA-26FEB16-T68,buy,yes,21,3,0.65,204.76190476190476,"Est temp 69°F, bracket [68-78]°F, our prob 64% vs market 21¢",73.4,69.0,73.4,1,WON,237,2026-02-16T01:30:18.938300+00:00,2026-02-20T18:02:21.531328+00:00,model
14,NYC,low,KXLOWTNYC-26FEB16,KXLOWTNYC-26FEB16-B26.5,buy,yes,2,15,0.65,150.0,"Est temp 32°F, bracket [26-27]°F, our prob 6% vs market 2¢",36.0,32.0,36.0,1,LOST,-30,2026-02-16T01:30:18.941629+00:00,2026-02-20T18:02:21.531328+00:00,model
15,PHI,low,KXLOWTPHIL-26FEB16,KXLOWTPHIL-26FEB16-T36,buy,yes,4,15,0.65,225.0,"Est temp 33°F, bracket [36-46]°F, our prob 13% vs market 4¢",35.6,33.0,35.7,1,LOST,-60,2026-02-16T02:00:23.601960+00:00,2026-02-20T18:02:21.531328+00:00,model
16,NYC,low,KXLOWTNYC-26FEB16,KXLOWTNYC-26FEB16-B26.5,buy,yes,2,15,0.65,150.0,"Est temp 32°F, bracket [26-27]°F, our prob 6% vs market 2¢",36.0,32.0,36.0,1,LOST,-30,2026-02-16T02:00:23.621868+00:00,2026-02-20T18:02:21.531328+00:00,model
17,MIA,high,KXHIGHMIA-26FEB16,KXHIGHMIA-26FEB16-T79,buy,yes,2,10,0.5,1150.0,"Est temp 81°F, bracket [69-79]°F, our prob 25% vs market 2¢",69.8,81.0,70.4,1,LOST,-20,2026-02-16T12:30:24.801491+00:00,2026-02-20T18:02:21.531328+00:00,model
18,PHI,high,KXHIGHPHIL-26FEB16,KXHIGHPHIL-26FEB16-T39,buy,yes,6,10,0.5,500.0,"Est temp 40°F, bracket [29-39]°F, our prob 37% vs market 6¢",33.8,40.0,33.4,1,LOST,-60,2026-02-16T12:30:24.805545+00:00,2026-02-20T18:02:21.531328+00:00,model
19,MIA,high,KXHIGHMIA-26FEB16,KXHIGHMIA-26FEB16-B79.5,buy,yes,3,10,0.5,700.0,"Est temp 81°F, bracket [79-80]°F, our prob 25% vs market 3¢",69.8,81.0,70.4,1,LOST,-30,2026-02-16T12:30:24.808962+00:00,2026-02-20T18:02:21.531328+00:00,model
20,MIA,high,KXHIGHMIA-26FEB16,KXHIGHMIA-26FEB16-B85.5,buy,no,86,1,0.5,57.14285714285714,"Est temp 81°F, NOT in [85-86]°F, our prob 7% vs market 14¢",71.6,81.0,70.4,1,LOST,-86,2026-02-16T13:01:22.832427+00:00,2026-02-20T18:02:21.531328+00:00,model
21,DC,high,KXHIGHTDC-26FEB16,KXHIGHTDC-26FEB16-B51.5,buy,no,94,1,0.55,66.66666666666666,"Est temp 46°F, NOT in [51-52]°F, our prob 2% vs market 6¢",37.4,46.0,35.6,1,WON,6,2026-02-16T13:01:22.837251+00:00,2026-02-20T18:02:21.531328+00:00,model
22,DC,high,KXHIGHTDC-26FEB16,KXHIGHTDC-26FEB16-B49.5,buy,no,76,1,0.55,66.66666666666666,"Est temp 46°F, NOT in [49-50]°F, our prob 8% vs market 24¢",37.4,46.0,35.6,1,WON,24,2026-02-16T13:01:22.841197+00:00,2026-02-20T18:02:21.531328+00:00,model
23,MIA,high,KXHIGHMIA-26FEB16,KXHIGHMIA-26FEB16-B85.5,buy,no,85,1,0.55,73.33333333333333,"Est temp 80°F, NOT in [85-86]°F, our prob 5% vs market 15¢",73.4,81.0,71.6,1,LOST,-85,2026-02-16T13:30:22.157247+00:00,2026-02-20T18:02:21.531328+00:00,model
24,DC,high,KXHIGHTDC-26FEB16,KXHIGHTDC-26FEB16-B49.5,buy,no,77,1,0.55,69.56521739130434,"Est temp 45°F, NOT in [49-50]°F, our prob 8% vs market 23¢",37.9,46.0,35.6,1,WON,23,2026-02-16T13:30:22.165980+00:00,2026-02-20T18:02:21.531328+00:00,model
25,MIA,high,KXHIGHMIA-26FEB18,KXHIGHMIA-26FEB18-B82.5,buy,no,75,1,0.6,88.0,"Est temp 77°F, NOT in [82-83]°F, our prob 3% vs market 25¢",75.2,77.0,74.6,1,WON,25,2026-02-18T14:51:26.289913+00:00,2026-02-20T18:02:21.531328+00:00,model
26,PHI,high,KXHIGHPHIL-26FEB18,KXHIGHPHIL-26FEB18-B48.5,buy,no,72,1,0.5,60.71428571428571,"Est temp 45°F, NOT in [48-49]°F, our prob 11% vs market 28¢",39.2,45.0,37.8,1,WON,28,2026-02-18T14:51:26.294239+00:00,2026-02-20T18:02:21.531328+00:00,model
